nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones,titulo,canal,fecha_publicacion,vistas
Espresso,Sabrina Carpenter,45,2024-07-10,2024-04-12,99.0,,,,
LA BANDA,Jere Klein,46,2024-07-10,2024-05-30,66.0,,,,
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,47,2024-07-10,2024-05-23,82.0,,,,
ME GUSTA,FloyyMenor,48,2024-07-10,2024-03-01,67.0,,,,
Grabándote:),Kidd Voodoo,49,2024-07-10,2024-02-29,67.0,,,,
BLANKITA COMO NIEVE,Jere Klein,50,2024-07-10,2024-05-30,66.0,,,,
Mirame,Blessd,1,2024-07-10,2024-04-17,82.0,,,,
Si Antes Te Hubiera Conocido,KAROL G,2,2024-07-10,2024-06-21,90.0,,,,
SORRY 4 THAT MUCH,Feid,3,2024-07-10,2024-06-07,87.0,,,,
LUNA,Feid,4,2024-07-10,2023-12-01,90.0,,,,
Ohnana,Kapo,5,2024-07-10,2024-06-06,75.0,,,,
REAL GANGSTA LOVE,Trueno,6,2024-07-10,2024-05-23,91.0,,,,
EL RITMO QUE NOS UNE - feat. Selección Colombia,Ryan Castro,7,2024-07-10,2024-06-08,69.0,,,,
Brickell,Feid,8,2024-07-10,2024-04-10,83.0,,,,
Orion,Boza,9,2024-07-10,2024-05-29,79.0,,,,
AMARGURA,KAROL G,10,2024-07-10,2023-02-24,86.0,,,,
Chismofilia,Luis Alfonso,11,2024-07-10,2024-06-05,69.0,,,,
PERRO NEGRO,Bad Bunny,12,2024-07-10,2023-10-13,87.0,,,,
QLONA,KAROL G,13,2024-07-10,2023-08-10,86.0,,,,
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,14,2024-07-10,2024-05-17,83.0,,,,
Gata Only,FloyyMenor,15,2024-07-10,2024-02-02,96.0,,,,
Santa,Rvssian,16,2024-07-10,2024-04-03,84.0,,,,
La Bachata,Manuel Turizo,17,2024-07-10,2023-03-17,85.0,,,,
Feliz Cumpleaños Ferxxo,Feid,18,2024-07-10,2022-09-14,82.0,,,,
WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),J Abdiel,19,2024-07-10,2024-06-21,74.0,,,,
Contentoso,Luis Alfonso,20,2024-07-10,2024-03-14,67.0,,,,
CUAL ES ESA,Feid,21,2024-07-10,2023-12-01,75.0,,,,
MI EX TENÍA RAZÓN,KAROL G,22,2024-07-10,2023-08-10,83.0,,,,
Primera Cita,Carin Leon,23,2024-07-10,2023-05-19,84.0,,,,
ADIVINO,Myke Towers,24,2024-07-10,2024-04-25,88.0,,,,
SI SABE FERXXO,Blessd,25,2024-07-10,2024-01-25,76.0,,,,
CLASSY 101,Feid,26,2024-07-10,2023-12-01,82.0,,,,
offline,Young Miko,27,2024-07-10,2024-04-05,85.0,,,,
Señal De Vida,Ñejo & Dalmata,28,2024-07-10,2013-01-01,69.0,,,,
